names:   Clndrs Volume  HpX     Model   Origin  Lbs-    Acc+    Mpg+
mid:     5.45   193.43  104.47  76.01   1       2970.42 15.57   23.84
div:     1.7    104.27  38.49   3.7     1.33    846.84  2.76    8.34
#
smo9:    4       85      65      80      3       2110    19.2    40
smo9:    4       98      65      81      1       2380    20.7    30
smo9:    4       96      69      72      2       2189    18      30
smo9:    4       86      65      79      3       1975    15.2    30
smo9:    4       91      67      80      3       1850    13.8    40
smo9:    4       90      70      76      2       1937    14.2    30
smo9:    4       85      70      78      3       2070    18.6    40
smo9:    4       107     72      80      3       2290    17      30
smo9:    4       115     95      75      2       2694    15      20
smo9:    4       120     97      72      3       2506    14.5    20
smo9:    4       122     96      77      1       2300    15.5    30
smo9:    4       119     97      78      3       2405    14.9    20
smo9:    4       134     95      78      3       2515    14.8    20
smo9:    4       141     71      79      2       3190    24.8    30
smo9:    6       258     110     74      1       3632    18      20
smo9:    6       231     105     77      1       3425    16.9    20
smo9:    6       232     112     82      1       2835    14.7    20
smo9:    6       250     72      75      1       3432    21      20
smo9:    8       360     150     79      1       3940    13      20
smo9:    6       258     110     75      1       3730    19      20
#
any50:   4      91      60      78      3       1800    16.4    40
any50:   4      116     81      76      2       2220    16.9    30
any50:   8      390     190     70      1       3850    8.5     20
any50:   4      68      49      73      2       1867    19.5    30
any50:   4      130     102     76      2       3150    15.7    20
any50:   4      140     72      73      1       2401    19.5    20
any50:   4      140     88      79      1       2890    17.3    20
any50:   6      225     85      81      1       3465    16.6    20
any50:   4      97      78      77      2       2190    14.1    30
any50:   4      122     96      77      1       2300    15.5    30
any50:   4      120     88      75      2       2957    17      20
any50:   4      71      65      74      3       1836    21      30
any50:   4      83      61      74      3       2003    19      30
any50:   4      78      52      78      3       1985    19.4    30
any50:   8      350     165     71      1       4209    12      10
any50:   4      90      70      75      2       1937    14      30
any50:   3      70      100     80      3       2420    12.5    20
any50:   4      156     92      82      1       2585    14.5    30
any50:   8      350     150     74      1       4699    14.5    10
any50:   6      232     100     74      1       2901    16      20
any50:   4      97      46      73      2       1950    21      30
any50:   4      79      70      71      2       2074    19.5    30
any50:   8      305     145     78      1       3425    13.2    20
any50:   4      141     71      79      2       3190    24.8    30
any50:   6      200     ?       74      1       2875    17      20
any50:   8      429     198     73      1       4952    11.5    10
any50:   6      250     105     75      1       3459    16      20
any50:   4      85      70      77      3       1945    16.8    30
any50:   6      231     110     75      1       3039    15      20
any50:   6      250     72      75      1       3158    19.5    20
any50:   6      146     120     81      3       2930    13.8    20
any50:   6      225     110     79      1       3360    16.6    20
any50:   8      350     145     76      1       4055    12      10
any50:   8      350     170     77      1       4165    11.4    20
any50:   8      400     170     75      1       4668    11.5    20
any50:   8      305     140     76      1       4215    13      20
any50:   8      351     153     72      1       4129    13      10
any50:   6      173     115     79      1       2700    12.9    30
any50:   4      85      70      76      3       1990    17      30
any50:   8      383     180     71      1       4955    11.5    10
any50:   8      340     160     70      1       3609    8       10
any50:   8      400     167     73      1       4906    12.5    10
any50:   4      107     86      76      2       2464    15.5    30
any50:   6      250     100     73      1       3278    18      20
any50:   8      318     150     73      1       4237    14.5    10
any50:   4      151     90      80      1       2678    16.5    30
any50:   6      232     112     82      1       2835    14.7    20
any50:   4      91      69      79      2       2130    14.7    40
any50:   8      360     175     73      1       3821    11      10
any50:   8      302     140     70      1       3449    10.5    20
